TargetPath,Url,TotalBytes,StartTime,EndTime,MimeType
C:\Users\Admin\Downloads\wdsjjlhz_ttrar_v2.3.4 (1).exe,https://www.onlinedown.net/soft/587846.htm,1981824,2022-05-02T02:05:44.016015+08:00,1601-01-01T00:00:00+08:00,application/x-ms-dos-executable
C:\Users\Admin\Downloads\wdsjjlhz_ttrar_v2.3.4.exe,https://www.onlinedown.net/soft/587846.htm,1981824,2022-05-02T02:05:23.170506+08:00,2022-05-02T02:05:52.052864+08:00,application/x-ms-dos-executable
C:\Users\Admin\Downloads\wodeshijiejingling_downcc.zip,http://www.downcc.com/soft/140388.html,1931841,2022-05-02T02:06:47.311338+08:00,2022-05-02T02:06:48.122543+08:00,application/x-zip-compressed
C:\Users\Admin\Downloads\ChromeSetup.exe,https://www.google.cn/chrome/,1343320,2022-03-20T03:18:26.348462+08:00,2022-03-20T03:18:28.388563+08:00,application/octet-stream
C:\Users\Admin\Downloads\hvhbbs.com_整活hitsound.rar,https://hvhbbs.com/attachments/11466/,664001,2022-05-03T04:30:37.739959+08:00,2022-05-03T04:30:38.292878+08:00,application/octet-stream
C:\Users\Admin\Downloads\xuanlvqidongqi_downcc.zip,http://www.downcc.com/soft/46587.html,566243,2022-05-02T02:07:46.4961+08:00,2022-05-02T02:07:47.186836+08:00,application/x-zip-compressed
C:\Users\Admin\Downloads\hvhbbs.com_bim-动力娇喘录音.zip,https://hvhbbs.com/attachments/7261/,490634,2022-05-02T05:28:06.452397+08:00,2022-05-02T05:28:07.857038+08:00,application/octet-stream
C:\Users\Admin\Downloads\slot2,https://cdn.discordapp.com/attachments/951915310133436506/951917704774844466/slot2,419477,2022-03-31T13:49:48.04832+08:00,2022-03-31T13:49:48.796963+08:00,application/octet-stream
C:\Users\Admin\Downloads\hvhbbs.com_GMYUEGK.rar,https://hvhbbs.com/attachments/12690/,126100,2022-05-03T10:19:49.887866+08:00,2022-05-03T10:19:50.620763+08:00,application/octet-stream
C:\Users\Admin\Downloads\hvhbbs.com_S0UnID.zip,https://hvhbbs.com/attachments/9820/,125843,2022-05-03T04:29:52.725208+08:00,2022-05-03T04:29:53.340494+08:00,application/octet-stream
C:\Users\Admin\Downloads\hvhbbs.com_weefy CFG.rar,https://hvhbbs.com/attachments/13061/,87053,2022-05-21T05:07:08.983453+08:00,2022-05-21T05:07:09.571828+08:00,application/octet-stream
D:\Program Files (x86)\Steam\steamapps\common\Counter-Strike Global Offensive\nl\zeus_icon_small.png,https://cdn.discordapp.com/attachments/731349200419291166/862208228624302110/zeus_icon_small.png,42226,2022-03-20T08:34:11.344032+08:00,2022-03-20T08:34:26.822416+08:00,image/png
C:\Users\Admin\Downloads\SkeetFont2.ttf,https://anonfiles.com/RbS4e6Q1xd/SkeetFont2_ttf,7760,2022-03-24T12:25:08.230332+08:00,2022-03-24T12:25:08.946669+08:00,font/sfnt
