TargetPath,Url,TotalBytes,StartTime,EndTime,MimeType
,https://gamesense.pub/forums/viewtopic.php?id=37222,12654864,2022-05-04T13:15:49.052301+08:00,1601-01-01T00:00:00+08:00,application/zip
C:\Users\Admin\Pictures\Sound Files.zip,https://gamesense.pub/forums/viewtopic.php?id=37222,12654864,2022-05-04T13:15:49.052194+08:00,2022-05-04T13:15:53.306898+08:00,application/zip
,https://gamesense.pub/forums/viewtopic.php?id=37222,12654864,2022-05-04T13:15:49.052406+08:00,1601-01-01T00:00:00+08:00,application/zip
C:\Users\Admin\Downloads\nixware.exe,https://nixware.cc/attachments/9642/,10155424,2022-03-20T04:56:11.024628+08:00,2022-03-20T04:56:15.425894+08:00,application/octet-stream
C:\Users\Admin\Downloads\sky_vaga01.7z,https://gamebanana.com/mods/download/6760,9496779,2022-03-20T09:38:14.234825+08:00,2022-03-20T09:38:24.311502+08:00,application/x-7z-compressed
C:\Users\Admin\Downloads\wumt.zip,"https://m.majorgeeks.com/mg/getmirror/windows_update_minitool,1.html",8699365,2022-05-13T10:11:15.036414+08:00,2022-05-13T10:11:17.816448+08:00,application/zip
C:\Users\Admin\Downloads\valorant.rar,https://github.com/glockcodes/valorant-sounds/blob/main/valorant.rar,8152055,2022-05-09T10:10:05.084414+08:00,2022-05-09T10:10:39.051681+08:00,application/octet-stream
C:\Users\Admin\Downloads\Counter-strike_Global_Offensive_2022.04.02_-_23.02.37.10.DVR_Trim.mp4,https://cdn.discordapp.com/attachments/953384048007458947/959921780187869184/Counter-strike_Global_Offensive_2022.04.02_-_23.02.37.10.DVR_Trim.mp4,8054200,2022-04-03T04:50:59.953075+08:00,2022-04-03T04:51:00.49555+08:00,video/mp4
C:\Users\Admin\Downloads\Gv3KlaWC6rXV.exe,https://gamesense.pub/forums/profile.php?section=premium&id=13434,7782912,2022-05-04T12:48:31.197515+08:00,1601-01-01T00:00:00+08:00,application/x-dosexec
C:\Users\Admin\Downloads\jY3enw5xRUk1.exe,https://gamesense.pub/forums/profile.php?section=premium&id=13434,7782912,2022-04-17T02:57:01.156821+08:00,2022-04-17T02:57:06.011076+08:00,application/x-dosexec
C:\Users\Admin\Downloads\bAZPVq7ULGCl.exe,https://gamesense.pub/forums/profile.php?section=premium&id=13434,7782912,2022-05-14T13:00:21.715672+08:00,2022-05-14T13:00:27.120191+08:00,application/x-dosexec
C:\Users\Admin\Downloads\boKYSgm3nHrB.exe,https://gamesense.pub/forums/profile.php?section=premium&id=13434,7782912,2022-05-14T03:50:10.292797+08:00,2022-05-14T03:50:13.541256+08:00,application/x-dosexec
C:\Users\Admin\Downloads\0PUjoIJZ8AMK.exe,https://gamesense.pub/forums/profile.php?section=premium&id=13434,7782912,2022-05-04T12:50:04.1887+08:00,2022-05-04T12:51:54.238749+08:00,application/x-dosexec
C:\Users\Admin\Downloads\2VPAgmTy6Q3X.exe,https://gamesense.pub/forums/profile.php?section=premium&id=13434,7782912,2022-05-14T04:16:37.522451+08:00,2022-05-14T04:16:54.941624+08:00,application/x-dosexec
C:\Users\Admin\Downloads\miBeJInr5SQP.exe,https://gamesense.pub/forums/profile.php?section=premium&id=13434,7782912,2022-05-14T05:29:49.19707+08:00,2022-05-14T05:29:59.006324+08:00,application/x-dosexec
C:\Users\Admin\Downloads\SaKIc6DgwhQU.exe,https://gamesense.pub/forums/profile.php?section=premium&id=13434,7782912,2022-05-03T02:40:23.877137+08:00,2022-05-03T02:41:01.266619+08:00,application/x-dosexec
C:\Users\Admin\Downloads\X4nHzY7GQasN.exe,https://gamesense.pub/forums/profile.php?section=premium&id=13434,7782912,2022-05-14T14:57:28.178525+08:00,2022-05-14T14:57:44.796345+08:00,application/x-dosexec
C:\Users\Admin\Downloads\valorant.zip,https://aether.moe/gamesense/valorant.zip,7277168,2022-04-29T14:47:38.358868+08:00,2022-04-29T14:48:10.423793+08:00,application/zip
C:\Users\Admin\Downloads\zH8hDKjcwIhh.exe,https://en.neverlose.cc/me,6815744,2022-05-02T15:11:52.807849+08:00,2022-05-02T15:11:55.985495+08:00,application/octet-stream
C:\Users\Admin\Downloads\rJG6fELHiOh7.exe,https://en.neverlose.cc/sub?type=csgo,6815744,2022-05-03T07:16:45.087688+08:00,2022-05-03T07:17:01.606938+08:00,application/octet-stream
C:\Users\Admin\Downloads\kqejQp0szn0H.exe,https://en.neverlose.cc/sub?type=csgo,6815744,2022-03-20T03:35:38.037799+08:00,2022-03-20T03:35:40.676932+08:00,application/octet-stream
C:\Users\Admin\Downloads\bTWlKB7o1Sy0.exe,https://en.neverlose.cc/sub?type=csgo,6815744,2022-03-20T03:42:16.427161+08:00,2022-03-20T03:42:20.17567+08:00,application/octet-stream
C:\Users\Admin\Downloads\ROSogb66l8Yz.exe,https://en.neverlose.cc/me,6815744,2022-03-20T03:31:39.488448+08:00,2022-03-20T03:31:42.330699+08:00,application/octet-stream
C:\Users\Admin\Downloads\HUiLKYWlogV4.exe,https://en.neverlose.cc/me,6815744,2022-04-01T15:41:22.717591+08:00,2022-04-01T15:41:26.406664+08:00,application/octet-stream
C:\Users\Admin\Downloads\o1pzLOh6P0tW.exe,https://en.neverlose.cc/sub?type=csgo,6815744,2022-03-20T03:37:22.524722+08:00,2022-03-20T03:37:25.440941+08:00,application/octet-stream
C:\Users\Admin\Downloads\BNrEotWc11Wr.exe,https://en.neverlose.cc/sub?type=csgo,6815744,2022-05-02T15:42:41.283+08:00,2022-05-02T15:42:44.627+08:00,application/octet-stream
C:\Users\Admin\Downloads\QppmOd8O4DPR.exe,https://en.neverlose.cc/me,6815744,2022-04-02T09:06:47.502406+08:00,2022-04-02T09:06:49.954701+08:00,application/octet-stream
C:\Users\Admin\Downloads\xiaodui3.20WIN10外部_protected.zip,https://developer.lanzoug.com/file/?BWNWaAEwVWRUXQU9UWRUOAY5ADgHIAFqA2UEbQE5UiYDalYyAHMPaQJkUFEAHQJNVj0CN1XvU/ULmgfoAN8ErQVaVnEBLlVuVHYFNlFmVCEGOQBhB3YBeQNtBHIBe1I1A2pWbQA4DwQCPVBiAGkCNVY5AjZVO1NmCzwHNgBvBCMFY1ZyAWFVN1Q2BWNRPVRjBm0AMgd+AXMDdAQ/AW9SYwMxVjMAcg9rAmdQKQBmAjNWIwIxVTpTYQs0B2MAbgQyBTxWYgFvVWNUOwVnUTZUZwY+AGcHaQEwA2UEYAFlUjIDOlYzADgPbQI3UGMAZwI3VjwCKVVwUzgLfAcnACkEdgVgVnMBNVVlVD8FYlE3VGwGaQAyB2ABNQMiBHYBNFI+A2ZWZwBgD2oCYlAyAG0CM1Y0AjZVPlNlCzwHLwByBCMFY1ZtAStVPFQzBWVRMVRtBmQANAdtATcDMAQ3AXtSJgNzVnYAYA9qAmJQMgBjAjRWOAI+VTJTaQs0BycAKQRsBXVWPAFtVTlUMQV9UTdUZwZlACsHaQE6AzEELAFsUmI=,6408617,2022-04-04T13:54:00.476585+08:00,2022-04-04T13:54:03.202873+08:00,application/octet-stream
C:\Users\Admin\Downloads\mr_52.7z,https://gamebanana.com/mods/download/334815,5799315,2022-04-29T10:05:18.274471+08:00,2022-04-29T10:05:23.707841+08:00,application/x-7z-compressed
C:\Users\Admin\Downloads\mr_52.7z,https://gamebanana.com/mods/download/334815,5799315,2022-03-20T09:33:19.709325+08:00,2022-03-20T09:33:22.772102+08:00,application/x-7z-compressed
C:\Users\Admin\Downloads\Counter-strike_Global_Offensive_2022.02.24_-_16.00.31.02.DVR_Trim.mp4,https://cdn.discordapp.com/attachments/946014891892953118/947074312869937152/Counter-strike_Global_Offensive_2022.02.24_-_16.00.31.02.DVR_Trim.mp4,5316410,2022-04-16T15:27:37.05042+08:00,2022-04-16T15:27:37.184102+08:00,video/mp4
C:\Users\Admin\Downloads\weaponsounds.zip,https://github.com/Coronavirus0001/CSGO-Source-Weapon-Sounds/blob/main/weaponsounds.zip,5130330,2022-04-29T13:57:25.77592+08:00,2022-04-29T13:57:29.932533+08:00,application/zip
C:\Users\Admin\Downloads\hlwn.7z,https://gamebanana.com/mods/download/321409,4804090,2022-03-20T09:35:06.661715+08:00,2022-03-20T09:35:09.23124+08:00,application/x-7z-compressed
C:\Users\Admin\Downloads\message (37).txt,https://gamesense.pub/forums/viewtopic.php?id=37248,3705866,2022-05-14T14:44:58.823294+08:00,2022-05-14T14:44:59.387755+08:00,text/plain
C:\Users\Admin\Downloads\setup-lightshot.exe,https://app.prntscr.com/zh-cn/download.html,2786328,2022-03-22T14:55:09.726293+08:00,2022-03-22T14:55:27.442532+08:00,application/octet-stream
C:\Users\Admin\Downloads\SteamSetup.exe,https://store.steampowered.com/about/,1770744,2022-03-20T03:29:24.350071+08:00,2022-03-20T03:29:27.200568+08:00,application/octet-stream
